GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
1500000US180973101031,180973101031,"Block Group 1, Census Tract 3101.03, Marion County, Indiana",1430,300,3,4,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,13,20,0,11,12,20,1,3,17,26,182,126,1,2,62,47,119,79,168,109,589,172,162,75,54,38,47,58
1500000US180973101032,180973101032,"Block Group 2, Census Tract 3101.03, Marion County, Indiana",463,104,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,16,25,0,11,0,11,35,42,0,11,16,24,45,53,34,37,90,63,112,52,73,42,42,42
1500000US180973101033,180973101033,"Block Group 3, Census Tract 3101.03, Marion County, Indiana",1397,264,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,15,24,0,11,197,85,27,42,0,11,175,103,27,32,639,214,87,74,150,90,80,55
1500000US180973101034,180973101034,"Block Group 4, Census Tract 3101.03, Marion County, Indiana",1664,231,10,17,0,11,0,11,0,11,0,11,0,11,9,16,0,11,0,11,0,11,17,28,0,11,13,21,14,22,19,32,103,63,26,28,53,43,261,114,155,108,517,154,210,98,168,116,89,65
1500000US180973101041,180973101041,"Block Group 1, Census Tract 3101.04, Marion County, Indiana",650,154,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,23,25,30,0,11,0,11,77,55,0,11,0,11,144,101,40,43,198,103,81,63,39,45,34,36
1500000US180973101042,180973101042,"Block Group 2, Census Tract 3101.04, Marion County, Indiana",565,173,15,24,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,12,18,0,11,0,11,0,11,56,54,0,11,21,32,101,85,9,16,338,146,13,22,0,11,0,11
1500000US180973101043,180973101043,"Block Group 3, Census Tract 3101.04, Marion County, Indiana",1403,205,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,17,27,0,11,0,11,0,11,0,11,361,146,0,11,33,36,152,97,97,84,490,161,178,104,62,54,13,20
1500000US180973101051,180973101051,"Block Group 1, Census Tract 3101.05, Marion County, Indiana",487,108,3,3,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,1,2,0,11,0,11,27,46,0,11,60,50,0,11,57,33,54,44,39,29,159,65,59,34,20,24,8,13
1500000US180973101052,180973101052,"Block Group 2, Census Tract 3101.05, Marion County, Indiana",1953,136,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,22,0,11,62,54,9,15,8,14,8,14,18,20,343,102,111,54,93,64,368,113,130,65,564,115,210,78,9,14,6,9
1500000US180973101061,180973101061,"Block Group 1, Census Tract 3101.06, Marion County, Indiana",1523,225,2,4,0,11,0,11,0,11,0,11,46,71,0,11,0,11,36,49,0,11,2,6,21,28,6,11,13,21,37,40,210,116,14,22,132,131,492,203,45,49,253,114,141,94,73,76,0,11
